Time start,Time stop,Organic,Sulfate,Ammonium,Nitrate,Chloride
9/27/14 5:12,9/27/14 5:15,11.9068,3.51531,0.958178,0.199819,0.0276436
9/27/14 5:20,9/27/14 5:23,11.7042,3.64488,1.05122,0.215544,0.0256471
9/27/14 5:28,9/27/14 5:31,11.9146,3.56157,0.959547,0.202805,0.025514
9/27/14 5:36,9/27/14 5:39,11.7468,3.51398,0.954269,0.216152,0.0282577
9/27/14 5:44,9/27/14 5:47,11.8422,3.51655,1.01588,0.232811,0.0274422
9/27/14 5:52,9/27/14 5:55,11.6543,3.50329,0.990908,0.223243,0.030116
9/27/14 6:00,9/27/14 6:03,11.3029,3.38671,0.977201,0.205384,0.0264542
9/27/14 6:08,9/27/14 6:11,11.3145,3.52581,1.04738,0.202264,0.0272726
9/27/14 6:16,9/27/14 6:19,11.6821,3.4559,0.962663,0.218157,0.0259604
9/27/14 6:24,9/27/14 6:27,11.237,3.33141,0.945424,0.189461,0.0216221
9/27/14 6:32,9/27/14 6:35,11.4133,3.57871,1.02053,0.203804,0.025824
9/27/14 6:40,9/27/14 6:43,11.1933,3.41788,0.99086,0.198378,0.0248973
9/27/14 6:48,9/27/14 6:51,10.7208,3.25552,0.951416,0.182633,0.0244713
9/27/14 6:56,9/27/14 6:59,11.1248,3.37321,0.976884,0.192712,0.0253956
9/27/14 7:04,9/27/14 7:07,11.3845,3.35686,0.968062,0.194995,0.026435
9/27/14 7:12,9/27/14 7:15,11.8029,3.55397,1.00852,0.227907,0.0272299
9/27/14 7:20,9/27/14 7:23,11.3706,3.3769,0.997436,0.19232,0.0324486
9/27/14 7:28,9/27/14 7:31,11.2735,3.33531,0.996522,0.189301,0.0277418
9/27/14 7:36,9/27/14 7:39,10.6256,3.20025,0.956822,0.182746,0.026738
9/27/14 7:44,9/27/14 7:47,10.2081,3.13925,0.917991,0.178184,0.0274595
9/27/14 7:52,9/27/14 7:55,10.3862,2.98828,0.878474,0.166231,0.0266011
9/27/14 8:00,9/27/14 8:03,10.9458,3.34404,0.959445,0.19243,0.0232501
9/27/14 8:08,9/27/14 8:11,11.4792,3.55972,0.946651,0.227099,0.024672
9/27/14 8:16,9/27/14 8:19,11.5402,3.47232,0.934554,0.21789,0.0267838
9/27/14 8:24,9/27/14 8:27,11.5912,3.42764,0.90773,0.276426,0.0288888
9/27/14 8:32,9/27/14 8:35,11.9449,3.53123,1.00524,0.269189,0.0291954
9/27/14 8:40,9/27/14 8:43,11.6419,3.41844,0.938533,0.237819,0.0283576
9/27/14 8:48,9/27/14 8:51,11.4697,3.27515,0.944145,0.250974,0.0327059
9/27/14 8:56,9/27/14 8:59,11.1537,3.36511,1.02261,0.246394,0.029785
9/27/14 9:04,9/27/14 9:07,11.4202,3.25834,0.963841,0.254627,0.0297615
9/27/14 9:12,9/27/14 9:15,11.7679,3.13663,0.94884,0.250176,0.0297076
